id,name,cmc,cost,type,rarity,abilities,text,power,toughness,rating
37,Dictate of Kruphix,3,{1}{U}{U},Enchantment,Rare,Flash,"Flash<br>At the beginning of each player's draw step, that player draws an additional card.",,,5
38,Font of Fortunes,2,{1}{U},Enchantment,Common,,"{1}{U}, Sacrifice Font of Fortunes: Draw two cards.",,,10
39,Godhunter Octopus,6,{5}{U},Creature - Octopus,Common,,Godhunter Octopus can't attack unless defending player controls an enchantment or an enchanted permanent.,5,5,8
40,Hour of Need,3,{2}{U},Instant,Uncommon,"Strive, Flying","Strive- Hour of Need costs {1}{U} more to cast for each target beyond the first.<br>Exile any number of target creatures. For each creature exiled this way, its controller puts a 4/4 blue Sphinx creature token with flying onto the battlefield.",,,7
41,Hubris,2,{1}{U},Instant,Common,,Return target creature and all Auras attached to it to their owners' hands.,,,8
42,Hypnotic Siren,1,{U},Enchantment Creature - Siren,Rare,"Bestow, Flying","Bestow {5}{U}{U} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Flying<br>You control enchanted creature.<br>Enchanted creature gets +1/+1 and has flying.",1,1,10
43,Interpret the Signs,6,{5}{U},Sorcery,Uncommon,Scry,"Scry 3, then reveal the top card of your library. Draw cards equal to that card's converted mana cost. <i>(To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",,,8
44,Kiora's Dismissal,1,{U},Instant,Uncommon,Strive,Strive- Kiora's Dismissal costs {U} more to cast for each target beyond the first.<br>Return any number of target enchantments to their owners' hands.,,,5
45,Pin to the Earth,2,{1}{U},Enchantment - Aura,Common,Enchant,Enchant creature<br>Enchanted creature gets -6/-0.,,,10
46,Polymorphous Rush,3,{2}{U},Instant,Rare,Strive,Strive- Polymorphous Rush costs {1}{U} more to cast for each target beyond the first.<br>Choose a creature on the battlefield. Any number of target creatures you control each become a copy of that creature until end of turn.,,,8
47,Pull from the Deep,4,{2}{U}{U},Sorcery,Uncommon,,Return up to one target instant card and up to one target sorcery card from your graveyard to your hand. Exile Pull from the Deep.,,,2
48,Riptide Chimera,3,{2}{U},Enchantment Creature - Chimera,Uncommon,Flying,"Flying<br>At the beginning of your upkeep, return an enchantment you control to its owner's hand.",3,4,11
49,Rise of Eagles,6,{4}{U}{U},Sorcery,Common,"Flying, Scry",Put two 2/2 blue Bird enchantment creature tokens with flying onto the battlefield. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,8
50,Sage of Hours,2,{1}{U},Creature - Human Wizard,Mythic Rare,Heroic,"Heroic- Whenever you cast a spell that targets Sage of Hours, put a +1/+1 counter on it.<br>Remove all +1/+1 counters from Sage of Hours: For each five counters removed this way, take an extra turn after this one.",1,1,13
51,Scourge of Fleets,7,{5}{U}{U},Creature - Kraken,Rare,,"When Scourge of Fleets enters the battlefield, return each creature your opponents control with toughness X or less to its owner's hand, where X is the number of Islands you control.",6,6,7
52,Sigiled Starfish,2,{1}{U},Creature - Starfish,Common,Scry,{T}: Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,0,3,9
53,Thassa's Devourer,5,{4}{U},Enchantment Creature - Elemental,Common,Constellation,"Constellation- Whenever Thassa's Devourer or another enchantment enters the battlefield under your control, target player puts the top two cards of his or her library into his or her graveyard.",2,6,9
54,Thassa's Ire,1,{U},Enchantment,Uncommon,,{3}{U}: You may tap or untap target creature.,,,8
55,Triton Cavalry,4,{3}{U},Creature - Merfolk Soldier,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Triton Cavalry, you may return target enchantment to its owner's hand.",2,4,5
56,Triton Shorestalker,1,{U},Creature - Merfolk Rogue,Common,,Triton Shorestalker can't be blocked.,1,1,7
57,War-Wing Siren,3,{2}{U},Creature - Siren Soldier,Common,"Flying, Heroic","Flying<br>Heroic- Whenever you cast a spell that targets War-Wing Siren, put a +1/+1 counter on War-Wing Siren.",1,3,9
58,Whitewater Naiads,5,{3}{U}{U},Enchantment Creature - Nymph,Uncommon,Constellation,"Constellation- Whenever Whitewater Naiads or another enchantment enters the battlefield under your control, target creature can't be blocked this turn.",4,4,5
59,Agent of Erebos,4,{3}{B},Enchantment Creature - Zombie,Uncommon,Constellation,"Constellation- Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.",2,2,10
60,Aspect of Gorgon,3,{2}{B},Enchantment - Aura,Common,"Enchant, Deathtouch",Enchant creature<br>Enchanted creature gets +1/+3 and has deathtouch. <i>(Any amount of damage it deals to a creature is enough to destroy it.)</i>,,,6
61,Bloodcrazed Hoplite,2,{1}{B},Creature - Human Soldier,Common,Heroic,"Heroic- Whenever you cast a spell that targets Bloodcrazed Hoplite, put a +1/+1 counter on it.<br>Whenever a +1/+1 counter is placed on Bloodcrazed Hoplite, remove a +1/+1 counter from target creature an opponent controls.",2,1,8
62,Brain Maggot,2,{1}{B},Enchantment Creature - Insect,Uncommon,,"When Brain Maggot enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card until Brain Maggot leaves the battlefield.",1,1,11
63,Cast into Darkness,2,{1}{B},Enchantment - Aura,Common,Enchant,Enchant creature<br>Enchanted creature gets -2/-0 and can't block.,,,8
64,Cruel Feeding,1,{B},Instant,Common,"Strive, Lifelink",Strive- Cruel Feeding costs {2}{B} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+0 and gain lifelink until end of turn. <i>(Damage dealt by a creature with lifelink also causes its controller to gain that much life.)</i>,,,11
65,Dictate of Erebos,5,{3}{B}{B},Enchantment,Rare,Flash,"Flash<br>Whenever a creature you control dies, each opponent sacrifices a creature.",,,10
66,Doomwake Giant,5,{4}{B},Enchantment Creature - Giant,Rare,Constellation,"Constellation- Whenever Doomwake Giant or another enchantment enters the battlefield under your control, creatures your opponents control get -1/-1 until end of turn.",4,6,11
67,Dreadbringer Lampads,5,{4}{B},Enchantment Creature - Nymph,Common,"Constellation, Intimidate","Constellation- Whenever Dreadbringer Lampads or another enchantment enters the battlefield under your control, target creature gains intimidate until end of turn. <i>(It can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>",4,2,8
68,Extinguish All Hope,6,{4}{B}{B},Sorcery,Rare,,Destroy all nonenchantment creatures.,,,11
69,Feast of Dreams,2,{1}{B},Instant,Common,,Destroy target enchanted creature or enchantment creature.,,,7
70,Felhide Petrifier,3,{2}{B},Creature - Minotaur Warrior,Uncommon,Deathtouch,Deathtouch<br>Other Minotaur creatures you control have deathtouch.,2,3,7
71,Font of Return,2,{1}{B},Enchantment,Common,,"{3}{B}, Sacrifice Font of Return: Return up to three target creature cards from your graveyard to your hand.",,,11
72,Gnarled Scarhide,1,{B},Enchantment Creature - Minotaur,Uncommon,Bestow,"Bestow {3}{B} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Gnarled Scarhide can't block.<br>Enchanted creature gets +2/+1 and can't block.",2,1,10
73,Grim Guardian,3,{2}{B},Enchantment Creature - Zombie,Common,Constellation,"Constellation- Whenever Grim Guardian or another enchantment enters the battlefield under your control, each opponent loses 1 life.",1,4,5
74,"King Macar, the Gold-Cursed",4,{2}{B}{B},Legendary Creature - Human,Rare,Inspired,"Inspired- Whenever King Macar, the Gold-Cursed becomes untapped, you may exile target creature. If you do, put a colorless artifact token named Gold onto the battlefield. It has ""Sacrifice this artifact: Add one mana of any color to your mana pool.""",2,3,4
75,Master of the Feast,3,{1}{B}{B},Enchantment Creature - Demon,Rare,Flying,"Flying<br>At the beginning of your upkeep, each opponent draws a card.",5,5,6
76,Nightmarish End,3,{2}{B},Instant,Uncommon,,"Target creature gets -X/-X until end of turn, where X is the number of cards in your hand.",,,6
77,Nyx Infusion,3,{2}{B},Enchantment - Aura,Common,Enchant,"Enchant creature<br>Enchanted creature gets +2/+2 as long as it's an enchantment. Otherwise, it gets -2/-2.",,,11
78,Pharika's Chosen,1,{B},Creature - Snake,Common,Deathtouch,Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,1,9
79,Returned Reveler,2,{1}{B},Creature - Zombie Satyr,Common,,"When Returned Reveler dies, each player puts the top three cards of his or her library into his or her graveyard.",1,3,10
80,Ritual of the Returned,4,{3}{B},Instant,Uncommon,,Exile target creature card from your graveyard. Put a black Zombie creature token onto the battlefield. Its power is equal to that card's power and its toughness is equal to that card's toughness.,,,10
81,Rotted Hulk,4,{3}{B},Creature - Elemental,Common,,,2,5,12
82,Silence the Believers,4,{2}{B}{B},Instant,Rare,Strive,Strive- Silence the Believers costs {2}{B} more to cast for each target beyond the first.<br>Exile any number of target creatures and all Auras attached to them.,,,8
83,Spiteful Blow,6,{4}{B}{B},Sorcery,Uncommon,,Destroy target creature and target land.,,,3
84,Squelching Leeches,4,{2}{B}{B},Creature - Leech,Uncommon,,Squelching Leeches's power and toughness are each equal to the number of Swamps you control.,*,*,9
85,Thoughtrender Lamia,6,{4}{B}{B},Enchantment Creature - Lamia,Uncommon,Constellation,"Constellation- Whenever Thoughtrender Lamia or another enchantment enters the battlefield under your control, each opponent discards a card.",5,3,10
86,Tormented Thoughts,3,{2}{B},Sorcery,Uncommon,,"As an additional cost to cast Tormented Thoughts, sacrifice a creature.<br>Target player discards a number of cards equal to the sacrificed creature's power.",,,10
87,Worst Fears,8,{7}{B},Sorcery,Mythic Rare,,You control target player during that player's next turn. Exile Worst Fears. <i>(You see all cards that player could see and make all decisions for the player.)</i>,,,9
88,Akroan Line Breaker,3,{2}{R},Creature - Human Warrior,Uncommon,"Heroic, Intimidate","Heroic- Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn.",2,1,14
89,Bearer of the Heavens,8,{7}{R},Creature - Giant,Rare,,"When Bearer of the Heavens dies, destroy all permanents at the beginning of the next end step.",10,10,6
90,Bladetusk Boar,4,{3}{R},Creature - Boar,Common,Intimidate,Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>,3,2,10
91,Blinding Flare,1,{R},Sorcery,Uncommon,Strive,Strive- Blinding Flare costs {R} more to cast for each target beyond the first.<br>Any number of target creatures can't block this turn.,,,6
92,Cyclops of Eternal Fury,6,{4}{R}{R},Enchantment Creature - Cyclops,Uncommon,Haste,Creatures you control have haste.,5,3,11
93,Dictate of the Twin Gods,5,{3}{R}{R},Enchantment,Rare,Flash,"Flash<br>If a source would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",,,12
94,Eidolon of the Great Revel,2,{R}{R},Enchantment Creature - Spirit,Rare,,"Whenever a player casts a spell with converted mana cost 3 or less, Eidolon of the Great Revel deals 2 damage to that player.",2,2,4
95,Flamespeaker's Will,1,{R},Enchantment - Aura,Common,Enchant,"Enchant creature you control<br>Enchanted creature gets +1/+1.<br>Whenever enchanted creature deals combat damage to a player, you may sacrifice Flamespeaker's Will. If you do, destroy target artifact.",,,8
96,Flurry of Horns,5,{4}{R},Sorcery,Common,Haste,Put two 2/3 red Minotaur creature tokens with haste onto the battlefield.,,,6
97,Font of Ire,2,{1}{R},Enchantment,Common,,"{3}{R}, Sacrifice Font of Ire: Font of Ire deals 5 damage to target player.",,,5
98,Forgeborn Oreads,4,{2}{R}{R},Enchantment Creature - Nymph,Uncommon,Constellation,"Constellation- Whenever Forgeborn Oreads or another enchantment enters the battlefield under your control, Forgeborn Oreads deals 1 damage to target creature or player.",4,2,4
99,Gluttonous Cyclops,6,{5}{R},Creature - Cyclops,Common,Monstrosity,"{5}{R}{R}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i>",5,4,6
100,Harness by Force,3,{1}{R}{R},Sorcery,Rare,"Strive, Haste",Strive- Harness by Force costs {2}{R} more to cast for each target beyond the first.<br>Gain control of any number of target creatures until end of turn. Untap those creatures. They gain haste until end of turn.,,,10
101,Knowledge and Power,5,{4}{R},Enchantment,Uncommon,,"Whenever you scry, you may pay {2}. If you do, Knowledge and Power deals 2 damage to target creature or player.",,,14
102,Lightning Diadem,6,{5}{R},Enchantment - Aura,Common,Enchant,"Enchant creature<br>When Lightning Diadem enters the battlefield, it deals 2 damage to target creature or player.<br>Enchanted creature gets +2/+2.",,,9
103,Magma Spray,1,{R},Instant,Common,,"Magma Spray deals 2 damage to target creature. If that creature would die this turn, exile it instead.",,,3
104,Mogis's Warhound,2,{1}{R},Enchantment Creature - Hound,Uncommon,Bestow,"Bestow {2}{R} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Mogis's Warhound attacks each turn if able.<br>Enchanted creature gets +2/+2 and attacks each turn if able.",2,2,5
105,Pensive Minotaur,3,{2}{R},Creature - Minotaur Warrior,Common,,,2,3,10
106,Prophetic Flamespeaker,3,{1}{R}{R},Creature - Human Shaman,Mythic Rare,"Double Strike, Trample","Double strike, trample<br>Whenever Prophetic Flamespeaker deals combat damage to a player, exile the top card of your library. You may play it this turn.",1,3,10
107,Riddle of Lightning,5,{3}{R}{R},Instant,Uncommon,Scry,"Choose target creature or player. Scry 3, then reveal the top card of your library. Riddle of Lightning deals damage equal to that card's converted mana cost to that creature or player. <i>(To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",,,2
108,Rollick of Abandon,5,{3}{R}{R},Sorcery,Uncommon,,All creatures get +2/-2 until end of turn.,,,8
109,Rouse the Mob,1,{R},Instant,Common,"Strive, Trample",Strive- Rouse the Mob costs {2}{R} more to cast for each target beyond the first.<br>Any number of target creatures each get +2/+0 and gain trample until end of turn.,,,7
110,Satyr Hoplite,1,{R},Creature - Satyr Soldier,Common,Heroic,"Heroic- Whenever you cast a spell that targets Satyr Hoplite, put a +1/+1 counter on Satyr Hoplite.",1,1,6
111,Sigiled Skink,2,{1}{R},Creature - Lizard,Common,Scry,"Whenever Sigiled Skink attacks, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>",2,1,8
112,Spawn of Thraxes,7,{5}{R}{R},Creature - Dragon,Rare,Flying,"Flying<br>When Spawn of Thraxes enters the battlefield, it deals damage to target creature or player equal to the number of Mountains you control.",5,5,12
113,Spite of Mogis,1,{R},Sorcery,Uncommon,Scry,Spite of Mogis deals damage to target creature equal to the number of instant and sorcery cards in your graveyard. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,10
114,Starfall,5,{4}{R},Instant,Common,,"Starfall deals 3 damage to target creature. If that creature is an enchantment, Starfall deals 3 damage to that creature's controller.",,,14
115,Twinflame,2,{1}{R},Sorcery,Rare,"Strive, Haste","Strive- Twinflame costs {2}{R} more to cast for each target beyond the first.<br>Choose any number of target creatures you control. For each of them, put a token that's a copy of that creature onto the battlefield. Those tokens have haste. Exile them at the beginning of the next end step.",,,9
116,Wildfire Cerberus,5,{4}{R},Creature - Hound,Uncommon,Monstrosity,"{5}{R}{R}: Monstrosity 1. <i>(If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)</i><br>When Wildfire Cerberus becomes monstrous, it deals 2 damage to each opponent and each creature your opponents control.",4,3,9
117,Bassara Tower Archer,2,{G}{G},Creature - Human Archer,Uncommon,"Hexproof, Reach","Hexproof, reach",2,1,8
118,Colossal Heroics,3,{2}{G},Instant,Uncommon,Strive,Strive- Colossal Heroics costs {1}{G} more to cast for each target beyond the first.<br>Any number of target creatures each get +2/+2 until end of turn. Untap those creatures.,,,11
119,Consign to Dust,3,{2}{G},Instant,Uncommon,Strive,Strive- Consign to Dust costs {2}{G} more to cast for each target beyond the first.<br>Destroy any number of target artifacts and/or enchantments.,,,8
120,Desecration Plague,4,{3}{G},Sorcery,Common,,Destroy target enchantment or land.,,,5
121,Dictate of Karametra,5,{3}{G}{G},Enchantment,Rare,Flash,"Flash<br>Whenever a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced.",,,7
122,Eidolon of Blossoms,4,{2}{G}{G},Enchantment Creature - Spirit,Rare,Constellation,"Constellation- Whenever Eidolon of Blossoms or another enchantment enters the battlefield under your control, draw a card.",2,2,8
123,Font of Fertility,1,{G},Enchantment,Common,,"{1}{G}, Sacrifice Font of Fertility: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",,,5
124,Golden Hind,2,{1}{G},Creature - Elk,Common,,{T}: Add {G} to your mana pool.,2,1,5
125,Goldenhide Ox,6,{5}{G},Enchantment Creature - Ox,Uncommon,Constellation,"Constellation- Whenever Goldenhide Ox or another enchantment enters the battlefield under your control, target creature must be blocked this turn if able.",5,4,11
126,Heroes' Bane,5,{3}{G}{G},Creature - Hydra,Rare,,"Heroes' Bane enters the battlefield with four +1/+1 counters on it.<br>{2}{G}{G}: Put X +1/+1 counters on Heroes' Bane, where X is its power.",0,0,6
127,Humbler of Mortals,6,{4}{G}{G},Enchantment Creature - Elemental,Common,"Constellation, Trample","Constellation- Whenever Humbler of Mortals or another enchantment enters the battlefield under your control, creatures you control gain trample until end of turn.",5,5,12
128,Hydra Broodmaster,6,{4}{G}{G},Creature - Hydra,Rare,Monstrosity,"{X}{X}{G}: Monstrosity X. <i>(If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)</i><br>When Hydra Broodmaster becomes monstrous, put X X/X green Hydra creature tokens onto the battlefield.",7,7,11
129,Kruphix's Insight,3,{2}{G},Sorcery,Common,,Reveal the top six cards of your library. Put up to three enchantment cards from among them into your hand and the rest of the revealed cards into your graveyard.,,,6
130,Market Festival,4,{3}{G},Enchantment - Aura,Common,Enchant,"Enchant land<br>Whenever enchanted land is tapped for mana, its controller adds two mana in any combination of colors to his or her mana pool <i>(in addition to the mana the land produces)</i>.",,,6
131,Nature's Panoply,1,{G},Instant,Common,Strive,Strive- Nature's Panoply costs {2}{G} more to cast for each target beyond the first.<br>Choose any number of target creatures. Put a +1/+1 counter on each of them.,,,5
132,Nessian Game Warden,5,{3}{G}{G},Creature - Beast,Uncommon,,"When Nessian Game Warden enters the battlefield, look at the top X cards of your library, where X is the number of Forests you control. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",4,5,9
133,Oakheart Dryads,3,{2}{G},Enchantment Creature - Nymph Dryad,Common,Constellation,"Constellation- Whenever Oakheart Dryads or another enchantment enters the battlefield under your control, target creature gets +1/+1 until end of turn.",2,3,4
134,Pheres-Band Thunderhoof,5,{4}{G},Creature - Centaur Warrior,Common,Heroic,"Heroic- Whenever you cast a spell that targets Pheres-Band Thunderhoof, put two +1/+1 counters on Pheres-Band Thunderhoof.",3,4,6
135,Pheres-Band Warchief,4,{3}{G},Creature - Centaur Warrior,Rare,"Vigilance, Trample","Vigilance, trample<br>Other Centaur creatures you control get +1/+1 and have vigilance and trample.",3,3,7
136,Ravenous Leucrocota,4,{3}{G},Creature - Beast,Common,"Vigilance, Monstrosity","Vigilance<br>{6}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i>",2,4,4
137,Renowned Weaver,1,{G},Creature - Human Shaman,Common,Reach,"{1}{G}, Sacrifice Renowned Weaver: Put a 1/3 green Spider enchantment creature token with reach onto the battlefield. <i>(It can block creatures with flying.)</i>",1,1,8
138,Reviving Melody,3,{2}{G},Sorcery,Uncommon,,Choose one or both- Return target creature card from your graveyard to your hand; and/or return target enchantment card from your graveyard to your hand.,,,5
139,Satyr Grovedancer,2,{1}{G},Creature - Satyr Shaman,Common,,"When Satyr Grovedancer enters the battlefield, put a +1/+1 counter on target creature.",1,1,4
140,Setessan Tactics,2,{1}{G},Instant,Rare,"Strive, Fight","Strive- Setessan Tactics costs {G} more to cast for each target beyond the first.<br>Until end of turn, any number of target creatures each get +1/+1 and gain ""{T}: This creature fights another target creature.""",,,12
141,Solidarity of Heroes,2,{1}{G},Instant,Uncommon,Strive,Strive- Solidarity of Heroes costs {1}{G} more to cast for each target beyond the first.<br>Choose any number of target creatures. Double the number of +1/+1 counters on each of them.,,,9
142,Spirespine,3,{2}{G},Enchantment Creature - Beast,Uncommon,Bestow,"Bestow {4}{G} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Spirespine blocks each turn if able.<br>Enchanted creature gets +4/+1 and blocks each turn if able.",4,1,2
