id,name,cmc,cost,type,rarity,abilities,text,power,toughness,rating
55,Mnemonic Wall,5,{4}{U},Creature - Wall,Common,Defender,"Defender<br>When Mnemonic Wall enters the battlefield, you may return target instant or sorcery card from your graveyard to your hand.",0,4,8
56,Nimbus Naiad,3,{2}{U},Enchantment Creature - Nymph,Common,"Bestow, Flying","Bestow {4}{U} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Flying<br>Enchanted creature gets +2/+2 and has flying.",2,2,11
57,Omenspeaker,2,{1}{U},Creature - Human Wizard,Common,Scry,"When Omenspeaker enters the battlefield, scry 2. <i>(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",1,3,9
58,Ordeal of Thassa,2,{1}{U},Enchantment - Aura,Uncommon,Enchant,"Enchant creature<br>Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Thassa.<br>When you sacrifice Ordeal of Thassa, draw two cards.",,,8
59,Prescient Chimera,5,{3}{U}{U},Creature - Chimera,Common,"Flying, Scry","Flying<br>Whenever you cast an instant or sorcery spell, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>",3,4,10
60,Prognostic Sphinx,5,{3}{U}{U},Creature - Sphinx,Rare,"Flying, Hexproof, Scry","Flying<br>Discard a card: Prognostic Sphinx gains hexproof until end of turn. Tap it.<br>Whenever Prognostic Sphinx attacks, scry 3. <i>(Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",3,5,14
61,Sea God's Revenge,6,{5}{U},Sorcery,Uncommon,Scry,Return up to three target creatures your opponents control to their owners' hands. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,10
62,Sealock Monster,5,{3}{U}{U},Creature - Octopus,Uncommon,Monstrosity,"Sealock Monster can't attack unless defending player controls an Island.<br>{5}{U}{U}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Sealock Monster becomes monstrous, target land becomes an Island in addition to its other types.",5,5,10
63,Shipbreaker Kraken,6,{4}{U}{U},Creature - Kraken,Rare,Monstrosity,"{6}{U}{U}: Monstrosity 4. <i>(If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)</i><br>When Shipbreaker Kraken becomes monstrous, tap up to four target creatures. Those creatures don't untap during their controllers' untap steps for as long as you control Shipbreaker Kraken.",6,6,13
64,Stymied Hopes,2,{1}{U},Instant,Common,Scry,Counter target spell unless its controller pays {1}. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,5
65,Swan Song,1,{U},Instant,Rare,,"Counter target enchantment, instant, or sorcery spell. Its controller puts a 2/2 blue Bird creature token with flying onto the battlefield.",,,4
66,"Thassa, God of the Sea",3,{2}{U},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion, Scry","Indestructible<br>As long as your devotion to blue is less than five, Thassa isn't a creature. <i>(Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)</i><br>At the beginning of your upkeep, scry 1.<br>{1}{U}: Target creature you control can't be blocked this turn.",5,5,11
67,Thassa's Bounty,6,{5}{U},Sorcery,Common,,Draw three cards. Target player puts the top three cards of his or her library into his or her graveyard.,,,8
68,Thassa's Emissary,4,{3}{U},Enchantment Creature - Crab,Uncommon,Bestow,"Bestow {5}{U} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Whenever Thassa's Emissary or enchanted creature deals combat damage to a player, draw a card.<br>Enchanted creature gets +3/+3.",3,3,11
69,Triton Fortune Hunter,3,{2}{U},Creature - Merfolk Soldier,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Triton Fortune Hunter, draw a card.",2,2,9
70,Triton Shorethief,1,{U},Creature - Merfolk Rogue,Common,,,1,2,2
71,Triton Tactics,1,{U},Instant,Uncommon,,"Up to two target creatures each get +0/+3 until end of turn. Untap those creatures. At this turn's next end of combat, tap each creature that was blocked by one of those creatures this turn and it doesn't untap during its controller's next untap step.",,,5
72,Vaporkin,2,{1}{U},Creature - Elemental,Common,Flying,Flying<br>Vaporkin can block only creatures with flying.,2,1,9
73,Voyage's End,2,{1}{U},Instant,Common,Scry,Return target creature to its owner's hand. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,10
74,Wavecrash Triton,3,{2}{U},Creature - Merfolk Wizard,Common,Heroic,"Heroic- Whenever you cast a spell that targets Wavecrash Triton, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",1,4,8
75,Abhorrent Overlord,7,{5}{B}{B},Creature - Demon,Rare,"Flying, Devotion","Flying<br>When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i><br>At the beginning of your upkeep, sacrifice a creature.",6,6,12
76,Agent of the Fates,3,{1}{B}{B},Creature - Human Assassin,Rare,Deathtouch,"Deathtouch<br>Heroic- Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.",3,2,11
77,Asphodel Wanderer,1,{B},Creature - Skeleton Soldier,Common,Regeneration,{2}{B}: Regenerate Asphodel Wanderer.,1,1,5
78,Baleful Eidolon,2,{1}{B},Enchantment Creature - Spirit,Common,"Bestow, Deathtouch","Bestow {4}{B} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>Enchanted creature gets +1/+1 and has deathtouch.",1,1,8
79,Blood-Toll Harpy,3,{2}{B},Creature - Harpy,Common,Flying,"Flying<br>When Blood-Toll Harpy enters the battlefield, each player loses 1 life.",2,1,7
80,Boon of Erebos,1,{B},Instant,Common,Regeneration,Target creature gets +2/+0 until end of turn. Regenerate it. You lose 2 life.,,,7
81,Cavern Lampad,4,{3}{B},Enchantment Creature - Nymph,Common,"Bestow, Intimidate","Bestow {5}{B} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Intimidate<br>Enchanted creature gets +2/+2 and has intimidate.",2,2,9
82,Cutthroat Maneuver,4,{3}{B},Instant,Uncommon,Lifelink,Up to two target creatures each get +1/+1 and gain lifelink until end of turn.,,,5
83,Dark Betrayal,1,{B},Instant,Uncommon,,Destroy target black creature.,,,2
84,Disciple of Phenax,4,{2}{B}{B},Creature - Human Cleric,Common,Devotion,"When Disciple of Phenax enters the battlefield, target player reveals a number of cards from his or her hand equal to your devotion to black. You choose one of them. That player discards that card. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i>",1,3,8
85,"Erebos, God of the Dead",4,{3}{B},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion","Indestructible<br>As long as your devotion to black is less than five, Erebos isn't a creature. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i><br>Your opponents can't gain life.<br>{1}{B}, Pay 2 life: Draw a card.",5,7,8
86,Erebos's Emissary,4,{3}{B},Enchantment Creature - Snake,Uncommon,Bestow,"Bestow {5}{B} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Discard a creature card: Erebos's Emissary gets +2/+2 until end of turn. If Erebos's Emissary is an Aura, enchanted creature gets +2/+2 until end of turn instead.<br>Enchanted creature gets +3/+3.",3,3,11
87,Felhide Minotaur,3,{2}{B},Creature - Minotaur,Common,,,2,3,7
88,Fleshmad Steed,2,{1}{B},Creature - Horse,Common,,"Whenever another creature dies, tap Fleshmad Steed.",2,2,6
89,Gray Merchant of Asphodel,5,{3}{B}{B},Creature - Zombie,Common,Devotion,"When Gray Merchant of Asphodel enters the battlefield, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i>",2,4,8
90,Hero's Downfall,3,{1}{B}{B},Instant,Rare,,Destroy target creature or planeswalker.,,,13
91,Hythonia the Cruel,6,{4}{B}{B},Legendary Creature - Gorgon,Mythic Rare,"Deathtouch, Monstrosity","Deathtouch<br>{6}{B}{B}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Hythonia the Cruel becomes monstrous, destroy all non-Gorgon creatures.",4,6,13
92,Insatiable Harpy,4,{2}{B}{B},Creature - Harpy,Uncommon,"Flying, Lifelink","Flying, lifelink",2,2,9
93,Keepsake Gorgon,5,{3}{B}{B},Creature - Gorgon,Uncommon,"Deathtouch, Monstrosity","Deathtouch<br>{5}{B}{B}: Monstrosity 1. <i>(If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)</i><br>When Keepsake Gorgon becomes monstrous, destroy target non-Gorgon creature an opponent controls.",2,5,11
94,Lash of the Whip,5,{4}{B},Instant,Common,,Target creature gets -4/-4 until end of turn.,,,10
95,Loathsome Catoblepas,6,{5}{B},Creature - Beast,Common,,"{2}{G}: Loathsome Catoblepas must be blocked this turn if able.<br>When Loathsome Catoblepas dies, target creature an opponent controls gets -3/-3 until end of turn.",3,3,6
96,March of the Returned,4,{3}{B},Sorcery,Common,,Return up to two target creature cards from your graveyard to your hand.,,,6
97,Mogis's Marauder,3,{2}{B},Creature - Human Berserker,Uncommon,"Intimidate, Devotion","When Mogis's Marauder enters the battlefield, up to X target creatures each gain intimidate and haste until end of turn, where X is your devotion to black. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i>",2,2,9
98,Nighthowler,3,{1}{B}{B},Enchantment Creature - Horror,Rare,Bestow,"Bestow {2}{B}{B} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Nighthowler and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards.",0,0,9
99,Ordeal of Erebos,2,{1}{B},Enchantment - Aura,Uncommon,Enchant,"Enchant creature<br>Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Erebos.<br>When you sacrifice Ordeal of Erebos, target player discards two cards.",,,5
100,Pharika's Cure,2,{B}{B},Instant,Common,,Pharika's Cure deals 2 damage to target creature and you gain 2 life.,,,8
101,Read the Bones,3,{2}{B},Sorcery,Common,Scry,"Scry 2, then draw two cards. You lose 2 life. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",,,9
102,Rescue from the Underworld,5,{4}{B},Instant,Uncommon,,"As an additional cost to cast Rescue from the Underworld, sacrifice a creature.<br>Choose target creature card in your graveyard. Return that card and the sacrificed card to the battlefield under your control at the beginning of your next upkeep. Exile Rescue from the Underworld.",,,8
103,Returned Centaur,4,{3}{B},Creature - Zombie Centaur,Common,,"When Returned Centaur enters the battlefield, target player puts the top four cards of his or her library into his or her graveyard.",2,4,7
104,Returned Phalanx,2,{1}{B},Creature - Zombie Soldier,Common,Defender,Defender<br>{1}{U}: Returned Phalanx can attack this turn as though it didn't have defender.,3,3,7
105,Scourgemark,2,{1}{B},Enchantment - Aura,Common,Enchant,"Enchant creature<br>When Scourgemark enters the battlefield, draw a card.<br>Enchanted creature gets +1/+0.",,,6
106,Sip of Hemlock,6,{4}{B}{B},Sorcery,Common,,Destroy target creature. Its controller loses 2 life.,,,9
107,Thoughtseize,1,{B},Sorcery,Rare,,Target player reveals his or her hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,,,9
108,Tormented Hero,1,{B},Creature - Human Warrior,Uncommon,Heroic,"Tormented Hero enters the battlefield tapped.<br>Heroic- Whenever you cast a spell that targets Tormented Hero, each opponent loses 1 life. You gain life equal to the life lost this way.",2,1,8
109,Viper's Kiss,1,{B},Enchantment - Aura,Common,Enchant,"Enchant creature<br>Enchanted creature gets -1/-1, and its activated abilities can't be activated.",,,5
110,Whip of Erebos,4,{2}{B}{B},Legendary Enchantment Artifact,Rare,"Lifelink, Haste","Creatures you control have lifelink.<br>{2}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step. If it would leave the battlefield, exile it instead of putting it anywhere else. Activate this ability only any time you could cast a sorcery.",,,12
111,Akroan Crusader,1,{R},Creature - Human Soldier,Common,Heroic,"Heroic- Whenever you cast a spell that targets Akroan Crusader, put a 1/1 red Soldier creature token with haste onto the battlefield.",1,1,5
112,Anger of the Gods,3,{1}{R}{R},Sorcery,Rare,,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.",,,11
113,Arena Athlete,2,{1}{R},Creature - Human,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.",2,1,7
114,Borderland Minotaur,4,{2}{R}{R},Creature - Minotaur Warrior,Common,,,4,3,8
115,Boulderfall,8,{6}{R}{R},Instant,Common,,Boulderfall deals 5 damage divided as you choose among any number of target creatures and/or players.,,,3
116,Coordinated Assault,1,{R},Instant,Uncommon,First Strike,Up to two target creatures each get +1/+0 and gain first strike until end of turn.,,,8
117,Deathbellow Raider,2,{1}{R},Creature - Minotaur Berserker,Common,Regeneration,Deathbellow Raider attacks each turn if able.<br>{2}{B}: Regenerate Deathbellow Raider.,2,3,6
118,Demolish,4,{3}{R},Sorcery,Common,,Destroy target artifact or land.,,,2
119,Dragon Mantle,1,{R},Enchantment - Aura,Common,Enchant,"Enchant creature<br>When Dragon Mantle enters the battlefield, draw a card.<br>Enchanted creature has ""{R}: This creature gets +1/+0 until end of turn.""",,,7
120,Ember Swallower,4,{2}{R}{R},Creature - Elemental,Rare,Monstrosity,"{5}{R}{R}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Ember Swallower becomes monstrous, each player sacrifices three lands.",4,5,12
121,Fanatic of Mogis,4,{3}{R},Creature - Minotaur Shaman,Uncommon,Devotion,"When Fanatic of Mogis enters the battlefield, it deals damage to each opponent equal to your devotion to red. <i>(Each {R} in the mana costs of permanents you control counts toward your devotion to red.)</i>",4,2,9
122,Firedrinker Satyr,1,{R},Creature - Satyr Shaman,Rare,,"Whenever Firedrinker Satyr is dealt damage, it deals that much damage to you.<br>{1}{R}: Firedrinker Satyr gets +1/+0 until end of turn and deals 1 damage to you.",2,1,8
123,Flamespeaker Adept,3,{2}{R},Creature - Human Shaman,Uncommon,Scry,"Whenever you scry, Flamespeaker Adept gets +2/+0 and gains first strike until end of turn.",2,3,8
124,Hammer of Purphoros,3,{1}{R}{R},Legendary Enchantment Artifact,Rare,Haste,"Creatures you control have haste.<br>{2}{R}, {T}, Sacrifice a land: Put a 3/3 colorless Golem enchantment artifact creature token onto the battlefield.",,,13
125,Ill-Tempered Cyclops,4,{3}{R},Creature - Cyclops,Common,"Trample, Monstrosity","Trample<br>{5}{R}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i>",3,3,10
126,Labyrinth Champion,4,{3}{R},Creature - Human Warrior,Rare,Heroic,"Heroic- Whenever you cast a spell that targets Labyrinth Champion, Labyrinth Champion deals 2 damage to target creature or player.",2,2,10
127,Lightning Strike,2,{1}{R},Instant,Common,,Lightning Strike deals 3 damage to target creature or player.,,,11
128,Magma Jet,2,{1}{R},Instant,Uncommon,Scry,"Magma Jet deals 2 damage to target creature or player. Scry 2. <i>(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",,,11
129,Messenger's Speed,1,{R},Enchantment - Aura,Common,"Enchant, Trample, Haste",Enchant creature<br>Enchanted creature has trample and haste.,,,2
130,Minotaur Skullcleaver,3,{2}{R},Creature - Minotaur Berserker,Common,Haste,"Haste<br>When Minotaur Skullcleaver enters the battlefield, it gets +2/+0 until end of turn.",2,2,8
131,Ordeal of Purphoros,2,{1}{R},Enchantment - Aura,Uncommon,Enchant,"Enchant creature<br>Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Purphoros.<br>When you sacrifice Ordeal of Purphoros, it deals 3 damage to target creature or player.",,,8
132,Peak Eruption,3,{2}{R},Sorcery,Uncommon,,Destroy target Mountain. Peak Eruption deals 3 damage to that land's controller.,,,2
133,Portent of Betrayal,4,{3}{R},Sorcery,Common,"Haste, Scry",Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,5
134,Priest of Iroas,1,{R},Creature - Human Cleric,Common,,"{3}{W}, Sacrifice Priest of Iroas: Destroy target enchantment.",1,1,6
135,"Purphoros, God of the Forge",4,{3}{R},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion","Indestructible<br>As long as your devotion to red is less than five, Purphoros isn't a creature.<br>Whenever another creature enters the battlefield under your control, Purphoros deals 2 damage to each opponent.<br>{2}{R}: Creatures you control get +1/+0 until end of turn.",6,5,9
